Term,Session,Bidding Window,Course Code,Description,Section,Vacancy,Opening Vacancy,Before Process Vacancy,D.I.C.E,After Process Vacancy,Enrolled Students,Median Bid,Min Bid,Instructor,School/Department
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT001,Accounting Study Mission (Asian Studies)(Bangkok),G1,45,45,1,0,1,44,0.00,0.00, PRASART JONGJAROENKAMOL,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT009,Overseas Project Experience (Accounting in Asia)(SMU-X: Jakarta),G1,25,24,0,0,0,24,0.00,0.00," YUANTO KUSNADI, KEVIN LEE",SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G1,42,42,0,0,0,42,0.00,0.00, GRACE FAN,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G10,45,45,1,0,1,44,0.00,0.00, TAN LAY KHIM,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G11,45,45,0,0,0,45,0.00,0.00, TAN LAY KHIM,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G12,43,43,0,0,0,43,0.00,0.00, TAN LAY KHIM,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G2,45,45,3,0,3,42,0.00,0.00, GRACE FAN,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G3,42,42,0,0,0,42,0.00,0.00, GRACE FAN,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G4,42,42,1,0,1,41,0.00,0.00, LIN PENGKAI,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G5,42,42,6,0,6,36,0.00,0.00, LIN PENGKAI,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G6,42,42,3,0,3,39,0.00,0.00, LIN PENGKAI,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G7,42,42,3,0,3,39,0.00,0.00," NG RUIMIN, SHAPHAN HARUN",SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G8,42,42,3,0,3,39,0.00,0.00," NG RUIMIN, SHAPHAN HARUN",SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT101,Financial Accounting,G9,45,45,5,0,5,40,0.00,0.00," NG RUIMIN, SHAPHAN HARUN",SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G1,45,45,0,0,0,45,0.00,0.00, KATHERINE YUEN,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G2,45,45,1,0,1,44,0.00,0.00, KATHERINE YUEN,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G3,45,45,4,0,4,41,0.00,0.00, KATHERINE YUEN,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G4,45,45,6,0,6,39,0.00,0.00, FANG BINGXU,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G5,45,45,4,0,4,41,0.00,0.00, FANG BINGXU,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G6,45,45,18,0,18,27,0.00,0.00, FANG BINGXU,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G7,45,45,4,0,4,41,0.00,0.00, KELLY NGO,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,G8,45,45,1,0,1,44,0.00,0.00, KELLY NGO,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT105,Financial Accounting for Law,G1,42,42,23,0,23,19,0.00,0.00, CHOW WAI KEONG,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT112,Management Accounting,G1,42,42,0,0,0,42,0.00,0.00, AN-PING LIN,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT112,Management Accounting,G2,42,42,1,0,1,41,0.00,0.00, AN-PING LIN,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT112,Management Accounting,G3,43,43,0,0,0,43,0.00,0.00, AN-PING LIN,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT112,Management Accounting,G4,45,45,8,0,8,37,0.00,0.00, PRASART JONGJAROENKAMOL,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT112,Management Accounting,G5,45,45,3,0,3,42,0.00,0.00, PRASART JONGJAROENKAMOL,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT112,Management Accounting,G6,45,45,3,0,3,42,0.00,0.00, PRASART JONGJAROENKAMOL,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT112,Management Accounting,G7,43,43,1,0,1,42,0.00,0.00, KELLY NGO,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT112,Management Accounting,G8,42,42,1,0,1,41,0.00,0.00, KELLY NGO,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT201,Corporate Reporting and Financial Analysis,G1,42,42,3,0,3,39,0.00,0.00, ZANG YOONSEOK,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT201,Corporate Reporting and Financial Analysis,G2,42,42,4,0,4,38,0.00,0.00, ZANG YOONSEOK,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT201,Corporate Reporting and Financial Analysis,G3,42,42,2,0,2,40,0.00,0.00, ZANG YOONSEOK,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT201,Corporate Reporting and Financial Analysis,G4,42,42,3,0,3,39,0.00,0.00, ZANG YOONSEOK,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT201,Corporate Reporting and Financial Analysis,G5,42,42,8,0,8,34,0.00,0.00, CHARLES CHEN,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT221,Accounting Information Systems,G1,42,42,8,0,8,34,0.00,0.00, WONG SUAY PENG,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT221,Accounting Information Systems,G2,42,42,1,0,1,41,0.00,0.00, WONG SUAY PENG,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT221,Accounting Information Systems,G3,42,42,15,0,15,27,0.00,0.00, WONG SUAY PENG,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT223,Taxation,G1,45,45,2,0,2,43,0.00,0.00, JIMMY LEE KIAT BEE,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT223,Taxation,G2,45,45,4,0,4,41,0.00,0.00, JIMMY LEE KIAT BEE,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT223,Taxation,G3,45,45,2,0,2,43,0.00,0.00, JIMMY LEE KIAT BEE,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT223,Taxation,G4,45,45,3,0,3,42,0.00,0.00, JIMMY LEE KIAT BEE,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT224,Financial Reporting and Analysis,G1,42,42,3,0,3,39,0.00,0.00, GOH BENG WEE,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT224,Financial Reporting and Analysis,G2,42,42,2,0,2,40,0.00,0.00, GOH BENG WEE,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT224,Financial Reporting and Analysis,G3,42,42,3,0,2,40,25.00,25.00, GOH BENG WEE,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT224,Financial Reporting and Analysis,G4,42,42,2,0,2,40,0.00,0.00, GOH BENG WEE,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT331,Audit and Assurance,G1,42,42,1,0,1,41,0.00,0.00, STERLING HUANG,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT331,Audit and Assurance,G2,42,42,4,0,4,38,0.00,0.00, STERLING HUANG,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT331,Audit and Assurance,G3,42,42,4,0,4,38,0.00,0.00, STERLING HUANG,SOA
2021-22 Term 2,Modified Session,Round 2A Window 3,ACCT331,Audit and Assurance,G4,42,42,16,0,16,26,0.00,0.00, KATHERINE YUEN,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT332,Accounting Thought and Governance,G1,42,42,0,0,0,42,0.00,0.00, WANG RENCHENG,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT332,Accounting Thought and Governance,G2,42,42,7,0,7,35,0.00,0.00, WANG RENCHENG,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT332,Accounting Thought and Governance,G3,42,42,14,0,14,28,0.00,0.00, WANG RENCHENG,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT332,Accounting Thought and Governance,G4,42,42,4,0,4,38,0.00,0.00, WANG RENCHENG,SOA
2021-22 Term 2,Modified Session,Round 2A Window 3,ACCT332,Accounting Thought and Governance,G5,42,42,14,0,14,28,0.00,0.00, HOLLY YANG,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT334,Intermediate Financial Accounting,G1,43,43,5,0,5,38,0.00,0.00, ANDREW LEE,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT334,Intermediate Financial Accounting,G2,44,44,0,0,0,44,0.00,0.00, LIM CHEE YEOW,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT334,Intermediate Financial Accounting,G3,45,45,0,0,0,45,0.00,0.00, LIM CHEE YEOW,SOA
2021-22 Term 2,Modified Session,Round 2A Window 3,ACCT334,Intermediate Financial Accounting,G4,45,45,18,0,18,27,0.00,0.00, HYE SUN CHANG,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT335,Advanced Financial Accounting,G1,42,42,18,0,18,24,0.00,0.00, YUE HENG,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT335,Advanced Financial Accounting,G3,43,43,0,0,0,43,0.00,0.00, LIM CHEE YEOW,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT335,Advanced Financial Accounting,G4,42,42,0,0,0,42,0.00,0.00, TRACEY ZHANG CHUNQI,SOA
2021-22 Term 2,Modified Session,Round 2A Window 3,ACCT335,Advanced Financial Accounting,G5,42,42,16,0,16,26,0.00,0.00, PEARL TAN HOCK NEO,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT336,Valuation,G1,42,42,9,0,8,34,10.09,10.09, CHENG NAM SANG,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT336,Valuation,G2,42,42,12,0,10,32,10.03,10.00, CHENG NAM SANG,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT336,Valuation,G3,42,42,8,0,8,34,0.00,0.00, CHENG NAM SANG,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT337,Statistical Programming,G1,45,45,2,0,2,43,0.00,0.00, KIM JUNG-BAE,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT337,Statistical Programming,G2,45,45,0,0,0,45,0.00,0.00, KIM JUNG-BAE,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT337,Statistical Programming,G3,45,45,0,0,0,45,0.00,0.00, KIM JUNG-BAE,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT401,Strategic Management Accounting,G1,42,42,15,0,15,27,0.00,0.00, CHENG NAM SANG,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT403,Advanced Taxation,G1,45,45,0,0,0,45,0.00,0.00, CHAN WENJIE,SOA
2021-22 Term 2,Modified Session,Round 2A Window 3,ACCT403,Advanced Taxation,G2,42,42,30,0,30,12,0.00,0.00, SUM YEE LOONG,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT409,Auditing for the Public Sector,G1,42,42,7,0,6,36,25.00,25.00, LIM SOO PING,SOA
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,ACCT410,Internal Audit(SMU-X),G1,42,42,26,0,26,16,0.00,0.00, FOO SEE LIANG,SOA
