ï»¿Term,Session,Bidding Window,Course Code,Description,Section,Vacancy,Opening Vacancy,Before Process Vacancy,D.I.C.E,After Process Vacancy,Enrolled Students,Median Bid,Min Bid,Instructor,School/Department,Term
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR-IS1702,Computational Thinking,G1,43,43,0,0,0,43,0.0,0.0, SOON HUI SHIN VIVIEN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR-IS1702,Computational Thinking,G2,43,43,0,0,0,43,0.0,0.0, CHENG SHIH-FEN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR-IS1702,Computational Thinking,G3,42,42,1,0,1,41,0.0,0.0, CHENG SHIH-FEN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR-IS1702,Computational Thinking,G4,42,42,0,0,0,42,0.0,0.0, CHENG SHIH-FEN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR-IS1702,Computational Thinking,G5,41,41,1,0,1,40,0.0,0.0, SOON HUI SHIN VIVIEN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR-IS1702,Computational Thinking,G6,40,40,0,0,0,40,0.0,0.0, TAN KHENG LEONG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR-IS1702,Computational Thinking,G7,40,40,2,0,2,38,0.0,0.0, MOK HENG NGEE,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR-IS1702,Computational Thinking,G8,40,40,2,0,2,38,0.0,0.0, SOON HUI SHIN VIVIEN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR1305,Spreadsheet Modeling and Analytics,G10,40,40,4,0,4,36,0.0,0.0, KOH CHUAN LEONG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR1305,Spreadsheet Modeling and Analytics,G11,43,43,0,0,0,43,0.0,0.0, KOH CHUAN LEONG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR1305,Spreadsheet Modeling and Analytics,G12,40,40,8,0,8,32,0.0,0.0, KOH CHUAN LEONG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR1305,Spreadsheet Modeling and Analytics,G13,40,40,8,0,7,33,40.0,40.0, KARTHIKEYAN KANNAN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR1305,Spreadsheet Modeling and Analytics,G14,42,42,0,0,0,42,0.0,0.0, WANG HAI,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR1305,Spreadsheet Modeling and Analytics,G2,40,40,5,0,5,35,0.0,0.0, MA DAN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR1305,Spreadsheet Modeling and Analytics,G3,40,40,1,0,1,39,0.0,0.0, MICHELLE CHEONG LEE FONG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR1305,Spreadsheet Modeling and Analytics,G4,42,42,0,0,0,42,0.0,0.0, MICHELLE CHEONG LEE FONG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR1305,Spreadsheet Modeling and Analytics,G5,40,40,3,0,3,37,0.0,0.0, MANOJ THULASIDAS,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR1305,Spreadsheet Modeling and Analytics,G6,43,43,1,0,1,42,0.0,0.0, MANOJ THULASIDAS,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR1305,Spreadsheet Modeling and Analytics,G7,40,40,5,0,5,35,0.0,0.0, MANOJ THULASIDAS,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,COR1305,Spreadsheet Modeling and Analytics,G8,40,40,8,0,8,32,0.0,0.0, ALDY GUNAWAN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS102,Programming Fundamentals II,G1,44,44,0,0,0,44,0.0,0.0, LEE YEOW LEONG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS102,Programming Fundamentals II,G2,45,45,0,0,0,45,0.0,0.0, LEE YEOW LEONG,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS105,Statistical Thinking for Data Science,G1,42,39,0,0,0,39,0.0,0.0, FANG YUAN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS105,Statistical Thinking for Data Science,G2,40,40,3,0,3,37,0.0,0.0, FANG YUAN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS105,Statistical Thinking for Data Science,G3,42,40,3,0,3,37,0.0,0.0, WU MIN,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS106,Computer Hardware and Embedded Systems,G1,43,43,0,0,0,43,0.0,0.0, ZHOU ZIMU,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS106,Computer Hardware and Embedded Systems,G2,46,46,0,0,0,46,0.0,0.0, ZHOU ZIMU,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS202,Design and Analysis of Algorithms,G1,44,42,7,0,7,35,0.0,0.0, ARUNESH SINHA,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS202,Design and Analysis of Algorithms,G2,44,42,10,0,10,32,0.0,0.0, ARUNESH SINHA,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS202,Design and Analysis of Algorithms,G3,44,42,7,0,7,35,0.0,0.0, ARUNESH SINHA,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS204,Interconnection of Cyber Physical Systems,G1,44,44,2,0,2,42,0.0,0.0, PIUS LEE,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS205,Operating System Concepts with Android,G1,49,49,0,0,0,49,0.0,0.0, NGO CHONG WAH,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS205,Operating System Concepts with Android,G2,47,47,0,0,0,47,0.0,0.0, NGO CHONG WAH,SIS,
2021-22 Term 2,Regular Academic Session,Round 2A Window 3,CS206,Software Product Management,G1,49,48,0,0,0,48,0.0,0.0, SUBHAJIT DATTA,SIS,
